CMB0043 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0044 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0044 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0		0		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0
CMB0045 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0		0		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0
CMB0045 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0046 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0046 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0		0		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0
CMB0047 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0		0		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0
CMB0047 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0048 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0		0		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0
CMB0048 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0049 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0049 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0		0		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0
CMB0050 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0050 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0		0		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0
CMB0051 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0051 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0052 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0052 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0

[DOC0057, *, *, *](tr):
					DISC00002A	DISC00003A	DISC00004A	DISC00005A	DISC00006A	DISC00007A	DISC00008A	DISC00009A	DISC00010A	DISC00011A	DISC00012A	DISC00013A	DISC00014A	DISC00015A	DISC00016A	DISC00017A	DISC00018A	DISC00019A	DISC00020A	DISC00021A	DISC00022A	DISC00023A	DISC00024A	DISC00025A	DISC00026A	DISC00027A	DISC00028A	DISC00029A	DISC00030A	DISC00031A	DISC00032A	DISC00033A	DISC00034A	DISC00035A	DISC00036A	DISC00037A	DISC00038A	DISC00039A	DISC00040A	DISC00041A	DISC00042A	DISC00043A	DISC00044A	DISC00045A	DISC00047A	DISC00048A	DISC00058A:=
CMB0035 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		100		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0035 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0036 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0036 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		100		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0037 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		100		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0037 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0038 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0038 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		100		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0039 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0039 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0040 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0040 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0041 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0041 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0042 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0042 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0043 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		100		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0043 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0044 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0044 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		100		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0045 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		100		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0045 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0046 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0046 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		100		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0047 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		100		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0047 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0048 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		100		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0048 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0049 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0049 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		100		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0050 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0050 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		100		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0051 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0051 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0052 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0052 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0

[DOC0058, *, *, *](tr):
					DISC00002A	DISC00003A	DISC00004A	DISC00005A	DISC00006A	DISC00007A	DISC00008A	DISC00009A	DISC00010A	DISC00011A	DISC00012A	DISC00013A	DISC00014A	DISC00015A	DISC00016A	DISC00017A	DISC00018A	DISC00019A	DISC00020A	DISC00021A	DISC00022A	DISC00023A	DISC00024A	DISC00025A	DISC00026A	DISC00027A	DISC00028A	DISC00029A	DISC00030A	DISC00031A	DISC00032A	DISC00033A	DISC00034A	DISC00035A	DISC00036A	DISC00037A	DISC00038A	DISC00039A	DISC00040A	DISC00041A	DISC00042A	DISC00043A	DISC00044A	DISC00045A	DISC00047A	DISC00048A	DISC00058A:=
CMB0035 MANHA		0		0		0		50		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0035 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0036 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0036 TARDE		0		0		0		50		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0037 MANHA		0		0		0		50		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0037 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0038 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0038 TARDE		0		0		0		50		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0039 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0039 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0040 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0040 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0041 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0041 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0042 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0042 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0043 MANHA		0		0		0		50		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0043 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0044 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0044 TARDE		0		0		0		50		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0045 MANHA		0		0		0		50		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0045 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0046 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0046 TARDE		0		0		0		50		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0047 MANHA		0		0		0		50		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0047 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0048 MANHA		0		0		0		50		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0048 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0049 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0049 TARDE		0		0		0		50		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0050 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0050 TARDE		0		0		0		50		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0051 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0051 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0052 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0052 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0

[DOC0059, *, *, *](tr):
					DISC00002A	DISC00003A	DISC00004A	DISC00005A	DISC00006A	DISC00007A	DISC00008A	DISC00009A	DISC00010A	DISC00011A	DISC00012A	DISC00013A	DISC00014A	DISC00015A	DISC00016A	DISC00017A	DISC00018A	DISC00019A	DISC00020A	DISC00021A	DISC00022A	DISC00023A	DISC00024A	DISC00025A	DISC00026A	DISC00027A	DISC00028A	DISC00029A	DISC00030A	DISC00031A	DISC00032A	DISC00033A	DISC00034A	DISC00035A	DISC00036A	DISC00037A	DISC00038A	DISC00039A	DISC00040A	DISC00041A	DISC00042A	DISC00043A	DISC00044A	DISC00045A	DISC00047A	DISC00048A	DISC00058A:=
CMB0035 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0035 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0036 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0036 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0037 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0037 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0038 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0038 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0039 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0039 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0040 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0040 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0041 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0041 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0042 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0042 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0043 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0043 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0044 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0044 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0045 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0045 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0046 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0046 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0047 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0047 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0048 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0048 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0049 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0049 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0050 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0050 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
